ID,"Investor Name","Investor Type","Investor Country","Found Domain",Website,"Search Strategy",Status
660,UBP,"Bank/Financial Institution",Switzerland,ubp.com,https://www.ubp.com,direct_website,FOUND
661,Remaco,"Bank/Financial Institution",Switzerland,remaco.com,https://www.remaco.com,duckduckgo_search,FOUND
662,Ilmarinen,"Pension - Public",Finland,ilmarinen.fi,https://www.ilmarinen.fi,duckduckgo_search,FOUND
663,"Den Danske WM","Fund of Funds",Denmark,danskebank.dk,https://www.danskebank.dk,duckduckgo_search,FOUND
664,"Shell AM","Pension - Private Non-ERISA",Netherlands,shellpensioen.nl,https://www.shellpensioen.nl,duckduckgo_search,FOUND
665,Varma,"Pension - Public",Finland,varma.fi,https://www.varma.fi,duckduckgo_search,FOUND
667,"Venus (Niarchos)","Family Office",Monaco,altss.com,https://www.altss.com,duckduckgo_search,FOUND
669,Tethys,"Family Office",France,familyofficehub.io,https://www.familyofficehub.io,duckduckgo_search,FOUND
670,ADIA,"Sovereign Wealth Fund",UAE,adia.com,https://www.adia.com,direct_website,FOUND
671,GIC,"Sovereign Wealth Fund",Singapore,gic.com.sg,https://www.gic.com.sg,duckduckgo_search,FOUND
672,"Aeon Investments","Fund of Funds",GB,aeoninvestments.com,https://www.aeoninvestments.com,direct_website,FOUND
673,Railpen,Pension,GB,railpen.com,https://www.railpen.com,direct_website,FOUND
674,Pluris,"Family Office",GB,pluris.com,https://www.pluris.com,direct_website,FOUND
675,QIA,"Sovereign Wealth Fund",Qatar,qia.qa,https://www.qia.qa,direct_website,FOUND
676,HarbourVest,,US,harbourvest.com,,duckduckgo_search,FOUND
677,Merseyside,Pension,GB,merseyside.com,https://www.merseyside.com,direct_website,FOUND
678,"RJH Investments","Individual (HNW)",US,sofi.com,,duckduckgo_search,FOUND
679,Leicestershire,Pension,GB,leicestershire.com,https://leicestershire.com,direct_website,FOUND
680,TPT,Pension,GB,memberonline.tpt.org.uk,https://memberonline.tpt.org.uk,duckduckgo_search,FOUND
681,SantaLucia,"Bank/Financial Institution",ES,santalucia.org,https://www.santalucia.org,direct_website,FOUND
682,"Church Commissioners","Non-Profit - Endowment",GB,thinkinganglicans.org.uk,https://www.thinkinganglicans.org.uk,duckduckgo_search,FOUND
683,"Wellness Holdings","Family Office",IT,familyofficeassociation.us,https://www.familyofficeassociation.us,duckduckgo_search,FOUND
684,Generali,"Bank/Financial Institution",IT,bancagenerali.com,,duckduckgo_search,FOUND
685,"Taiyo Life","Bank/Financial Institution",JP,td-holdings.co.jp,https://www.td-holdings.co.jp,duckduckgo_search,FOUND
686,SHEPP,Pension,CA,shepp.com,https://www.shepp.com,direct_website,FOUND
687,Jersey,"Sovereign Wealth Fund",GB,business.ciiom.hsbc.com,https://www.business.ciiom.hsbc.com,duckduckgo_search,FOUND
688,CAAT,Pension,CA,caat.com,,direct_website,FOUND
689,"Alaska Permanent","Sovereign Wealth Fund",USA,apfc.org,https://www.apfc.org,duckduckgo_search,FOUND
690,Stepstone,"Managed Account Platform",CH,stepstone.com,https://www.stepstone.com,direct_website,FOUND
691,Survista,Consultant,CH,survista.ch,,duckduckgo_search,FOUND
692,Decalia,,CH,decalia.com,,duckduckgo_search,FOUND
693,Tesco,Pension,GB,pensionwebsite.co.uk,https://www.pensionwebsite.co.uk,duckduckgo_search,FOUND
694,"Wisayah (ex Aramco)","Pension - Public","Saudi Arabia",linkedin.com,https://www.linkedin.com,duckduckgo_search,FOUND
695,"Texas Teachers","Pension - Private Non-ERISA",US,trs.texas.gov,https://www.trs.texas.gov,duckduckgo_search,FOUND
697,Lighthouse,"Fund of Funds",USA,lighthousepartners.com,https://www.lighthousepartners.com,duckduckgo_search,FOUND
698,"Ohio Teachers",Pension,US,strsoh.org,,duckduckgo_search,FOUND
699,"SBAF (Florida)",Pension,US,en.wikipedia.org,,duckduckgo_search,FOUND
700,"Ohio Teachers",Pension,US,strsoh.org,,duckduckgo_search,FOUND
701,Aksia,,,aksia.com,https://www.aksia.com,duckduckgo_search,FOUND
702,"SuMi Trust (SMTB)","Bank/Financial Institution",Japan,smtb.jp,,duckduckgo_search,FOUND
703,"Dai-ichi Life","Bank/Financial Institution",Japan,dai-ichi-life.co.jp,https://www.dai-ichi-life.co.jp,duckduckgo_search,FOUND
704,Nomura,"Bank/Financial Institution",Japan,nomura.co.jp,https://www.nomura.co.jp,direct_website,FOUND
705,Nomura,"Bank/Financial Institution",Japan,nomura.co.jp,https://www.nomura.co.jp,direct_website,FOUND
706,"Flick Privatstiftung","Family Office",Austria,linkedin.com,https://www.linkedin.com,duckduckgo_search,FOUND
707,"AMCS Privatstiftung","Family Office",Austria,amcsps.com,,duckduckgo_search,FOUND
708,"de Heinrich Family","Family Office",Switzerland,dakota.com,https://www.dakota.com,duckduckgo_search,FOUND
709,"Nordea IM",Corporate,Denmark,nordea.com,https://www.nordea.com,duckduckgo_search,FOUND
710,"European Value Fund","Family Office","Switzerland / Luxembourg",privatebanking.hsbc.com,https://www.privatebanking.hsbc.com,duckduckgo_search,FOUND
711,"Time Family Office","Family Office",GB,altss.com,https://www.altss.com,duckduckgo_search,FOUND
712,"VBV-Pensionskasse AG","Pension - Private Non-ERISA",Austria,vbv.at,https://www.vbv.at,duckduckgo_search,FOUND
713,"Seiryu Asset Mgmt","Fund of Funds",Japan,seiryuam.com,https://www.seiryuam.com,duckduckgo_search,FOUND
714,"Seiryu Asset Mgmt","Fund of Funds",Japan,seiryuam.com,https://www.seiryuam.com,duckduckgo_search,FOUND
715,"Seiryu Asset Mgmt","Fund of Funds",Japan,seiryuam.com,https://www.seiryuam.com,duckduckgo_search,FOUND
716,"SMD Asset Mgmt","Fund of Funds",Japan,smd-am.co.jp,https://www.smd-am.co.jp,duckduckgo_search,FOUND
717,"SMD Asset Mgmt","Fund of Funds",Japan,smd-am.co.jp,https://www.smd-am.co.jp,duckduckgo_search,FOUND
718,Mercer,Consultant,Global,,,not_found,NOT_FOUND
719,"Caledon Partners","Family Office","GB,AU,IT",venturebanc.com,https://www.venturebanc.com,duckduckgo_search,FOUND
720,"Dai-ichi Life","Bank/Financial Institution",Japan,dai-ichi-life.co.jp,https://www.dai-ichi-life.co.jp,duckduckgo_search,FOUND
721,Perpetual,"Family Office",Germany,prptl.com,https://www.prptl.com,duckduckgo_search,FOUND
722,CRTS,Insurer,GB,crts.cloud,https://www.crts.cloud,duckduckgo_search,FOUND
723,"Asset Mgmt One Alt Inv","Fund of Funds",Japan,am-one.co.jp,https://www.am-one.co.jp,duckduckgo_search,FOUND
724,Aon,"Foreign Pension",Worldwide,aon.com,,duckduckgo_search,FOUND
725,"Asset Mgmt One Alt Inv","Fund of Funds",Japan,am-one.co.jp,https://www.am-one.co.jp,duckduckgo_search,FOUND
726,"Mitsubishi UFJ Alternative Inv.","Fund of Funds",Japan,alt.tr.mufg.jp,https://www.alt.tr.mufg.jp,duckduckgo_search,FOUND
727,"W&W Asset Management GmbH (BF Capital)","Bank/Financial Institution",Germany,ww-ag.com,https://www.ww-ag.com,duckduckgo_search,FOUND
728,"GSAM AIMS","Fund of Funds",Global,am.gs.com,,duckduckgo_search,FOUND
729,"Julius Baer","Family Office",Switzerland,juliusbaer.com,https://www.juliusbaer.com,direct_website,FOUND
730,"Mitsui Alternative Investments","Fund of Funds",Japan,mitsui.com,https://www.mitsui.com,duckduckgo_search,FOUND
731,"Mitsui Alternative Investments","Fund of Funds",Japan,mitsui.com,https://www.mitsui.com,duckduckgo_search,FOUND
732,"Nissay Asset Mgmt","Fund of Funds",Japan,fintool.com,https://www.fintool.com,duckduckgo_search,FOUND
733,"Nissay Asset Mgmt","Fund of Funds",Japan,,,not_found,NOT_FOUND
734,"Partners Capital","Fund of Funds",US,investopedia.com,https://www.investopedia.com,duckduckgo_search,FOUND
738,"Border to Coast LGPS",Pension,GB,bordertocoast.org.uk,https://www.bordertocoast.org.uk,duckduckgo_search,FOUND
739,"Brunel LGPS",Pension,GB,brunelpensionpartnership.org,https://www.brunelpensionpartnership.org,duckduckgo_search,FOUND
741,SDCERS,Pension,US,sdcers.org,https://www.sdcers.org,direct_website,FOUND
742,"Daido Life Insurance","Bank/Financial Institution",Japan,td-holdings.co.jp,https://www.td-holdings.co.jp,duckduckgo_search,FOUND
743,"Asahi Life Insurance","Bank/Financial Institution",Japan,,,not_found,NOT_FOUND
744,"SMBC Nikko Securities","Bank/Financial Institution",Japan,smbcnikko.co.jp,https://www.smbcnikko.co.jp,duckduckgo_search,FOUND
745,"Dai-ichi Frontier Life","Bank/Financial Institution",Japan,bnt.brookfield.com,https://bnt.brookfield.com,duckduckgo_search,FOUND
746,Alashram,"Family Office",UAE,alashram.ae,https://www.alashram.ae,direct_website,FOUND
747,"El Ajou","Family Office","Saudi Arabia",altss.com,https://www.altss.com,duckduckgo_search,FOUND
748,"Mercuria Investment","Fund of Funds",Japan,asia.nikkei.com,https://asia.nikkei.com,duckduckgo_search,FOUND
749,"Hamilton Lane",,,hamiltonlane.com,,duckduckgo_search,FOUND
750,Fedesa,"Family Office",,cbinsights.com,https://www.cbinsights.com,duckduckgo_search,FOUND
751,"Golding Capital GMBH","Fund of Funds",Germany,goldingfx.com,https://www.goldingfx.com,duckduckgo_search,FOUND
752,"SEB Pension",Pension,Sweden,sebgroup.com,https://www.sebgroup.com,duckduckgo_search,FOUND
753,Fabco,"Family Office",Luxembourg,lafo.lu,,duckduckgo_search,FOUND
754,"Müller Milch Management","Family Office","Germany / Luxembourg",muellergroup.com,https://www.muellergroup.com,duckduckgo_search,FOUND
755,"Annie E. Casey Foundation","Non-Profit - Foundation",US,aecf.org,https://www.aecf.org,duckduckgo_search,FOUND
756,Lunate,"Sovereign Wealth Fund",UAE,economymiddleeast.com,https://www.economymiddleeast.com,duckduckgo_search,FOUND
757,Dominus,"Family Office",Brazil,dakota.com,https://www.dakota.com,duckduckgo_search,FOUND
758,LGTCP,"Family Office",Switzerland,lgtcp.com,https://www.lgtcp.com,duckduckgo_search,FOUND
759,"Höegh FO","Family Office",GB,bizprofile.net,,duckduckgo_search,FOUND
760,"Luzern PK","Foreign Pension",Switzerland,lupk.ch,https://www.lupk.ch,duckduckgo_search,FOUND
761,"Local Resources","Family Office",Switzerland,dakota.com,https://www.dakota.com,duckduckgo_search,FOUND
762,"Palmyra Holdings","Family Office",Switzerland,dnb.com,,duckduckgo_search,FOUND
763,VER,"Pension - Public",Finland,ver.fi,https://www.ver.fi,duckduckgo_search,FOUND
764,SHL,"Family Office",GB,dev.swfinstitute.org,https://dev.swfinstitute.org,duckduckgo_search,FOUND
765,SHL,"Family Office",GB,shl.com,,duckduckgo_search,FOUND
766,Cavamont,"Family Office",Cayman,cavamont.com,https://www.cavamont.com,direct_website,FOUND
767,Bluemetric,"Family Office",Netherlands,bluemetric.nl,https://www.bluemetric.nl,duckduckgo_search,FOUND
768,Tellco,Pension,Switzerland,tellco.ch,https://www.tellco.ch,direct_website,FOUND
769,SUVA,Pension,Switzerland,suva.ch,,duckduckgo_search,FOUND
770,"Morgan Stanley",,,login.morganstanleyclientserv.com,,duckduckgo_search,FOUND
771,"Sumitomo Life Insurance","Bank/Financial Institution",Japan,fsa.go.jp,https://www.fsa.go.jp,duckduckgo_search,FOUND
772,Primwest,"Family Office",CH,primwest.com,http://www.primwest.com,direct_website,FOUND
773,"SITFO (Utah School and Institutional Trust Funds Office)","Sovereign Wealth Fund",US,sitfo.utah.gov,https://sitfo.utah.gov,duckduckgo_search,FOUND
774,Schenker,"Individual (HNW)",CH,schenker.org,https://www.schenker.org,direct_website,FOUND
775,Schroders,"Bank/Financial Institution",GB,schroders.com,,duckduckgo_search,FOUND
776,"University of Oklahoma Foundation","Non-Profit - Endowment",US,home.oufoundation.org,https://home.oufoundation.org,duckduckgo_search,FOUND
777,"Asahi Life Insurance","Bank/Financial Institution",Japan,asahi-life.co.jp,https://www.asahi-life.co.jp,duckduckgo_search,FOUND
